Date,Day,NetWorth,Cash,Shares
2019-05-14,113,7801.94767775036,1877.17371613475,4.18484214357954
2019-05-15,114,7814.71144628827,1877.17371613475,4.18484214357954
2019-05-16,115,7584.29403786278,1877.17371613475,4.18484214357954
2019-05-17,116,7633.2985393641,1877.17371613475,4.18484214357954
2019-05-20,117,7985.03452153196,1877.17371613475,4.18484214357954
2019-05-21,118,8016.2952923445,1877.17371613475,4.18484214357954
2019-05-22,119,8047.26312420699,8047.26312420699,0
2019-05-23,120,8047.26312420699,8047.26312420699,0
2019-05-24,121,8047.26312420699,8047.26312420699,0
2019-05-27,122,8047.26312420699,8047.26312420699,0
2019-05-28,123,8047.26312420699,8047.26312420699,0
2019-05-29,124,8047.26312420699,8047.26312420699,0
2019-05-30,125,8047.26312420699,8047.26312420699,0
2019-05-31,126,8047.26312420699,8047.26312420699,0
2019-06-03,127,8047.26312420699,8047.26312420699,0
2019-06-04,128,8047.26312420699,8047.26312420699,0
2019-06-06,129,8047.26312420699,8047.26312420699,0
2019-06-07,130,8047.26312420699,8047.26312420699,0
2019-06-10,131,8047.26312420699,8047.26312420699,0
2019-06-11,132,8047.26312420699,8047.26312420699,0
2019-06-12,133,8047.26312420699,8047.26312420699,0
2019-06-13,134,8047.26312420699,8047.26312420699,0
2019-06-14,135,8047.26312420699,8047.26312420699,0
2019-06-17,136,8047.26312420699,8047.26312420699,0
2019-06-18,137,8047.26312420699,8047.26312420699,0
2019-06-19,138,8047.26312420699,8047.26312420699,0
2019-06-20,139,8047.26312420699,8047.26312420699,0
2019-06-21,140,8047.26312420699,8047.26312420699,0
2019-06-24,141,8047.26312420699,8047.26312420699,0
2019-06-25,142,8047.26312420699,8047.26312420699,0
2019-06-26,143,8047.26312420699,8047.26312420699,0
2019-06-27,144,8047.26312420699,8047.26312420699,0
2019-06-28,145,8047.26312420699,8047.26312420699,0
2019-07-01,146,8047.26312420699,8047.26312420699,0
2019-07-02,147,8047.26312420699,8047.26312420699,0
2019-07-03,148,8047.26312420699,8047.26312420699,0
2019-07-04,149,8047.26312420699,8047.26312420699,0
2019-07-05,150,8047.26312420699,1609.4526248414,4.24330200265336
2019-07-08,151,7997.78622285605,1609.4526248414,4.24330200265336
2019-07-09,152,7923.57087082964,1609.4526248414,4.24330200265336
2019-07-10,153,7956.15943021002,1609.4526248414,4.24330200265336
2019-07-11,154,8098.47977937901,1609.4526248414,4.24330200265336
2019-07-12,155,8119.14466013194,1609.4526248414,4.24330200265336
2019-07-15,156,7949.83691022607,1609.4526248414,4.24330200265336
2019-07-16,157,7857.67239072844,1609.4526248414,4.24330200265336
2019-07-17,158,7897.60186257341,1609.4526248414,4.24330200265336
2019-07-18,159,7898.15349183375,1609.4526248414,4.24330200265336
2019-07-19,160,7701.77347515095,1609.4526248414,4.24330200265336
2019-07-22,161,7580.16043975491,1609.4526248414,4.24330200265336
2019-07-23,162,7631.58926002707,1609.4526248414,4.24330200265336
2019-07-24,163,7465.08208944295,1609.4526248414,4.24330200265336
2019-07-25,164,7539.76420468965,1609.4526248414,4.24330200265336
2019-07-26,165,7572.48006313011,1609.4526248414,4.24330200265336
2019-07-29,166,7642.49454617389,1609.4526248414,4.24330200265336
2019-07-30,167,7541.33422643063,1609.4526248414,4.24330200265336
2019-07-31,168,7488.88701367783,1609.4526248414,4.24330200265336
2019-08-01,169,7573.37115655066,1609.4526248414,4.24330200265336
2019-08-02,170,7501.31988854561,1609.4526248414,4.24330200265336
2019-08-05,171,7421.54581089573,1609.4526248414,4.24330200265336
2019-08-06,172,7630.01923828608,1609.4526248414,4.24330200265336
2019-08-07,173,7724.72973898531,1609.4526248414,4.24330200265336
2019-08-08,174,7533.90844792599,1609.4526248414,4.24330200265336
2019-08-09,175,7638.16637813118,1609.4526248414,4.24330200265336
2019-08-13,176,7492.70598548022,1609.4526248414,4.24330200265336
2019-08-14,177,7542.77694911153,1609.4526248414,4.24330200265336
2019-08-16,178,7625.64863722335,1609.4526248414,4.24330200265336
2019-08-19,179,7746.24328013876,1609.4526248414,4.24330200265336
2019-08-20,180,7577.52959251326,1609.4526248414,4.24330200265336
2019-08-21,181,7499.19823754428,1609.4526248414,4.24330200265336
2019-08-22,182,7299.38114623934,1609.4526248414,4.24330200265336
2019-08-23,183,7190.24341873109,1609.4526248414,4.24330200265336
2019-08-26,184,7170.93639461902,1609.4526248414,4.24330200265336
2019-08-27,185,7486.21373341616,1609.4526248414,4.24330200265336
2019-08-28,186,7494.87006950158,1609.4526248414,4.24330200265336
2019-08-29,187,7360.31496299744,1609.4526248414,4.24330200265336
2019-08-30,188,7421.88527505594,1609.4526248414,4.24330200265336
2019-09-03,189,7414.79896071151,1609.4526248414,4.24330200265336
2019-09-04,190,7196.60837173507,1609.4526248414,4.24330200265336
2019-09-05,191,7188.24906678984,1609.4526248414,4.24330200265336
2019-09-06,192,7237.81083418084,1609.4526248414,4.24330200265336
2019-09-09,193,7248.97071844781,1609.4526248414,4.24330200265336
2019-09-11,194,7408.13697656734,7408.13697656734,0
2019-09-12,195,7408.13697656734,7408.13697656734,0
2019-09-13,196,7408.13697656734,7408.13697656734,0
2019-09-16,197,7408.13697656734,7408.13697656734,0
2019-09-17,198,7408.13697656734,7408.13697656734,0
2019-09-18,199,7408.13697656734,7408.13697656734,0
2019-09-19,200,7408.13697656734,7408.13697656734,0
2019-09-20,201,7408.13697656734,7408.13697656734,0
2019-09-23,202,7408.13697656734,7408.13697656734,0
2019-09-24,203,7408.13697656734,1481.62739531347,3.91351491462052
2019-09-25,204,7392.99167384776,1481.62739531347,3.91351491462052
2019-09-26,205,7504.56598406359,1481.62739531347,3.91351491462052
2019-09-27,206,7393.57870108495,1481.62739531347,3.91351491462052
2019-09-30,207,6915.54285426406,1481.62739531347,3.91351491462052
2019-10-01,208,6595.926091187,1481.62739531347,3.91351491462052
2019-10-03,209,6423.80970524199,1481.62739531347,3.91351491462052
2019-10-04,210,6468.30636982122,1481.62739531347,3.91351491462052
2019-10-07,211,6338.65162069985,1481.62739531347,3.91351491462052
2019-10-09,212,6500.39719212111,1481.62739531347,3.91351491462052
2019-10-10,213,6463.17966528307,1481.62739531347,3.91351491462052
2019-10-11,214,6252.51515742905,1481.62739531347,3.91351491462052
2019-10-14,215,6372.26871381644,1481.62739531347,3.91351491462052
2019-10-15,216,6407.60775349546,1481.62739531347,3.91351491462052
2019-10-16,217,6472.25901988499,1481.62739531347,3.91351491462052
2019-10-17,218,6618.35053164777,1481.62739531347,3.91351491462052
2019-10-18,219,6727.3810571691,1481.62739531347,3.91351491462052
2019-10-22,220,6741.43057571259,1481.62739531347,3.91351491462052
2019-10-23,221,6673.57022709307,1481.62739531347,3.91351491462052
2019-10-24,222,6565.12672880894,6565.12672880894,0
2019-10-25,223,6565.12672880894,6565.12672880894,0
2019-10-27,224,6565.12672880894,6565.12672880894,0
2019-10-29,225,6565.12672880894,6565.12672880894,0
2019-10-30,226,6565.12672880894,6565.12672880894,0
2019-10-31,227,6565.12672880894,6565.12672880894,0
2019-11-01,228,6565.12672880894,6565.12672880894,0
2019-11-04,229,6565.12672880894,6565.12672880894,0
2019-11-05,230,6565.12672880894,6565.12672880894,0
2019-11-06,231,6565.12672880894,6565.12672880894,0
2019-11-07,232,6565.12672880894,6565.12672880894,0
2019-11-08,233,6565.12672880894,6565.12672880894,0
2019-11-11,234,6565.12672880894,6565.12672880894,0
2019-11-13,235,6565.12672880894,6565.12672880894,0
2019-11-14,236,6565.12672880894,6565.12672880894,0
2019-11-15,237,6565.12672880894,6565.12672880894,0
2019-11-18,238,6565.12672880894,6565.12672880894,0
2019-11-19,239,6565.12672880894,6565.12672880894,0
2019-11-20,240,6565.12672880894,6565.12672880894,0
2019-11-21,241,6565.12672880894,6565.12672880894,0
2019-11-22,242,6565.12672880894,6565.12672880894,0
2019-11-25,243,6565.12672880894,6565.12672880894,0
2019-11-26,244,6565.12672880894,6565.12672880894,0
2019-11-27,245,6565.12672880894,6565.12672880894,0
2019-11-28,246,6565.12672880894,6565.12672880894,0
2019-11-29,247,6565.12672880894,6565.12672880894,0
2019-12-02,248,6565.12672880894,6565.12672880894,0
2019-12-03,249,6565.12672880894,6565.12672880894,0
2019-12-04,250,6565.12672880894,6565.12672880894,0
2019-12-05,251,6565.12672880894,6565.12672880894,0
2019-12-06,252,6565.12672880894,6565.12672880894,0
2019-12-09,253,6565.12672880894,6565.12672880894,0
2019-12-10,254,6565.12672880894,6565.12672880894,0
2019-12-11,255,6565.12672880894,6565.12672880894,0
2019-12-12,256,6565.12672880894,6565.12672880894,0
2019-12-13,257,6565.12672880894,6565.12672880894,0
2019-12-16,258,6565.12672880894,6565.12672880894,0
2019-12-17,259,6565.12672880894,6565.12672880894,0
2019-12-18,260,6565.12672880894,6565.12672880894,0
2019-12-19,261,6565.12672880894,6565.12672880894,0
2019-12-20,262,6565.12672880894,6565.12672880894,0
2019-12-23,263,6565.12672880894,6565.12672880894,0
2019-12-24,264,6565.12672880894,6565.12672880894,0
2019-12-26,265,6565.12672880894,6565.12672880894,0
2019-12-27,266,6565.12672880894,6565.12672880894,0
2019-12-30,267,6565.12672880894,6565.12672880894,0
2019-12-31,268,6565.12672880894,6565.12672880894,0
2020-01-01,269,6565.12672880894,6565.12672880894,0
2020-01-02,270,6565.12672880894,6565.12672880894,0
2020-01-03,271,6565.12672880894,1313.02534576179,3.45044928755192
2020-01-06,272,6455.57496392916,1313.02534576179,3.45044928755192
2020-01-07,273,6392.67327341709,1313.02534576179,3.45044928755192
2020-01-08,274,6344.19446092699,1313.02534576179,3.45044928755192
2020-01-09,275,6497.8084632088,1313.02534576179,3.45044928755192
2020-01-10,276,6495.25513073601,1313.02534576179,3.45044928755192
2020-01-13,277,6530.20818201891,1313.02534576179,3.45044928755192
2020-01-14,278,6584.4837493121,1313.02534576179,3.45044928755192
2020-01-15,279,6201.17333795796,1313.02534576179,3.45044928755192
2020-01-16,280,6113.46291706839,1313.02534576179,3.45044928755192
2020-01-17,281,5977.75674658897,1313.02534576179,3.45044928755192
2020-01-20,282,5938.87018311826,1313.02534576179,3.45044928755192
2020-01-21,283,5929.76099699913,1313.02534576179,3.45044928755192
