Date,Day,NetWorth,Cash,Shares
2019-08-19,179,9866.81138327414,9866.81138327414,0
2019-08-20,180,9866.81138327414,9866.81138327414,0
2019-08-21,181,9866.81138327414,9866.81138327414,0
2019-08-22,182,9866.81138327414,9866.81138327414,0
2019-08-23,183,9866.81138327414,9866.81138327414,0
2019-08-26,184,9866.81138327414,9866.81138327414,0
2019-08-27,185,9866.81138327414,9866.81138327414,0
2019-08-28,186,9866.81138327414,9866.81138327414,0
2019-08-29,187,9866.81138327414,9866.81138327414,0
2019-08-30,188,9866.81138327414,9866.81138327414,0
2019-09-03,189,9866.81138327414,9866.81138327414,0
2019-09-04,190,9866.81138327414,9866.81138327414,0
2019-09-05,191,9866.81138327414,9866.81138327414,0
2019-09-06,192,9866.81138327414,6906.7679682919,1.32116484636428
2019-09-09,193,9875.35931983012,9875.35931983012,0
2019-09-11,194,9875.35931983012,6912.75152388108,1.31422630750181
2019-09-12,195,9898.3582802114,9898.3582802114,0
2019-09-13,196,9898.3582802114,6928.85079614798,1.31808809309972
2019-09-16,197,9895.15532614517,9895.15532614517,0
2019-09-17,198,9895.15532614517,9895.15532614517,0
2019-09-18,199,9895.15532614517,9895.15532614517,0
2019-09-19,200,9895.15532614517,9895.15532614517,0
2019-09-20,201,9895.15532614517,9895.15532614517,0
2019-09-23,202,9895.15532614517,9895.15532614517,0
2019-09-24,203,9895.15532614517,9895.15532614517,0
2019-09-25,204,9895.15532614517,9895.15532614517,0
2019-09-26,205,9895.15532614517,9895.15532614517,0
2019-09-27,206,9895.15532614517,9895.15532614517,0
2019-09-30,207,9895.15532614517,9895.15532614517,0
2019-10-01,208,9895.15532614517,9895.15532614517,0
2019-10-03,209,9895.15532614517,9895.15532614517,0
2019-10-04,210,9895.15532614517,9895.15532614517,0
2019-10-07,211,9895.15532614517,9895.15532614517,0
2019-10-09,212,9895.15532614517,9895.15532614517,0
2019-10-10,213,9895.15532614517,9895.15532614517,0
2019-10-11,214,9895.15532614517,9895.15532614517,0
2019-10-14,215,9895.15532614517,9895.15532614517,0
2019-10-15,216,9895.15532614517,9895.15532614517,0
2019-10-16,217,9895.15532614517,9895.15532614517,0
2019-10-17,218,9895.15532614517,9895.15532614517,0
2019-10-18,219,9895.15532614517,9895.15532614517,0
2019-10-22,220,9895.15532614517,9895.15532614517,0
2019-10-23,221,9895.15532614517,9895.15532614517,0
2019-10-24,222,9895.15532614517,9895.15532614517,0
2019-10-25,223,9895.15532614517,9895.15532614517,0
2019-10-27,224,9895.15532614517,9895.15532614517,0
2019-10-29,225,9895.15532614517,9895.15532614517,0
2019-10-30,226,9895.15532614517,9895.15532614517,0
2019-10-31,227,9895.15532614517,9895.15532614517,0
2019-11-01,228,9895.15532614517,9895.15532614517,0
2019-11-04,229,9895.15532614517,9895.15532614517,0
2019-11-05,230,9895.15532614517,9895.15532614517,0
2019-11-06,231,9895.15532614517,9895.15532614517,0
2019-11-07,232,9895.15532614517,9895.15532614517,0
2019-11-08,233,9895.15532614517,9895.15532614517,0
2019-11-11,234,9895.15532614517,9895.15532614517,0
2019-11-13,235,9895.15532614517,9895.15532614517,0
2019-11-14,236,9895.15532614517,6926.60872830162,2.34280642878055
2019-11-15,237,9924.8855397264,9924.8855397264,0
2019-11-18,238,9924.8855397264,9924.8855397264,0
2019-11-19,239,9924.8855397264,9924.8855397264,0
2019-11-20,240,9924.8855397264,6947.41987780848,2.33710020558706
2019-11-21,241,9937.27217081601,9937.27217081601,0
2019-11-22,242,9937.27217081601,9937.27217081601,0
2019-11-25,243,9937.27217081601,9937.27217081601,0
2019-11-26,244,9937.27217081601,6956.09051957121,2.34099087630239
2019-11-27,245,9947.26820185782,9947.26820185782,0
2019-11-28,246,9947.26820185782,9947.26820185782,0
2019-11-29,247,9947.26820185782,9947.26820185782,0
2019-12-02,248,9947.26820185782,9947.26820185782,0
2019-12-03,249,9947.26820185782,9947.26820185782,0
2019-12-04,250,9947.26820185782,9947.26820185782,0
2019-12-05,251,9947.26820185782,9947.26820185782,0
2019-12-06,252,9947.26820185782,9947.26820185782,0
2019-12-09,253,9947.26820185782,9947.26820185782,0
2019-12-10,254,9947.26820185782,9947.26820185782,0
2019-12-11,255,9947.26820185782,9947.26820185782,0
2019-12-12,256,9947.26820185782,9947.26820185782,0
2019-12-13,257,9947.26820185782,9947.26820185782,0
2019-12-16,258,9947.26820185782,9947.26820185782,0
2019-12-17,259,9947.26820185782,9947.26820185782,0
2019-12-18,260,9947.26820185782,9947.26820185782,0
2019-12-19,261,9947.26820185782,9947.26820185782,0
2019-12-20,262,9947.26820185782,6963.08774130047,2.30909379782518
2019-12-23,263,9960.31458181553,9960.31458181553,0
2019-12-24,264,9960.31458181553,6972.22020727087,2.30949535452467
2019-12-26,265,9916.61892970793,9916.61892970793,0
2019-12-27,266,9916.61892970793,9916.61892970793,0
2019-12-30,267,9916.61892970793,9916.61892970793,0
2019-12-31,268,9916.61892970793,9916.61892970793,0
2020-01-01,269,9916.61892970793,9916.61892970793,0
2020-01-02,270,9916.61892970793,9916.61892970793,0
2020-01-03,271,9916.61892970793,9916.61892970793,0
2020-01-06,272,9916.61892970793,9916.61892970793,0
2020-01-07,273,9916.61892970793,9916.61892970793,0
2020-01-08,274,9916.61892970793,9916.61892970793,0
2020-01-09,275,9916.61892970793,9916.61892970793,0
2020-01-10,276,9916.61892970793,6941.63325079555,2.32038255603059
2020-01-13,277,9933.37209176247,9933.37209176247,0
2020-01-14,278,9933.37209176247,6953.36046423373,2.31941814550692
2020-01-15,279,9923.65372973279,9923.65372973279,0
2020-01-16,280,9923.65372973279,6946.55761081296,2.31622951398861
2020-01-17,281,9905.26286739172,9905.26286739172,0
2020-01-20,282,9905.26286739172,9905.26286739172,0
2020-01-21,283,9905.26286739172,9905.26286739172,0
