Date,Day,NetWorth,Cash,Shares
2019-03-18,77,9514.31160385907,9514.31160385907,0
2019-03-19,78,9514.31160385907,9514.31160385907,0
2019-03-20,79,9514.31160385907,9514.31160385907,0
2019-03-22,80,9514.31160385907,9514.31160385907,0
2019-03-25,81,9514.31160385907,9514.31160385907,0
2019-03-26,82,9514.31160385907,9514.31160385907,0
2019-03-27,83,9514.31160385907,9514.31160385907,0
2019-03-28,84,9514.31160385907,9514.31160385907,0
2019-03-29,85,9514.31160385907,9514.31160385907,0
2019-04-01,86,9514.31160385907,9514.31160385907,0
2019-04-02,87,9514.31160385907,9514.31160385907,0
2019-04-03,88,9514.31160385907,9514.31160385907,0
2019-04-04,89,9514.31160385907,9514.31160385907,0
2019-04-05,90,9514.31160385907,9514.31160385907,0
2019-04-08,91,9514.31160385907,9514.31160385907,0
2019-04-09,92,9514.31160385907,9514.31160385907,0
2019-04-10,93,9514.31160385907,9514.31160385907,0
2019-04-11,94,9514.31160385907,9514.31160385907,0
2019-04-12,95,9514.31160385907,9514.31160385907,0
2019-04-15,96,9514.31160385907,9514.31160385907,0
2019-04-16,97,9514.31160385907,9514.31160385907,0
2019-04-18,98,9514.31160385907,9514.31160385907,0
2019-04-22,99,9514.31160385907,9514.31160385907,0
2019-04-23,100,9514.31160385907,9514.31160385907,0
2019-04-24,101,9514.31160385907,9514.31160385907,0
2019-04-25,102,9514.31160385907,9514.31160385907,0
2019-04-26,103,9514.31160385907,9514.31160385907,0
2019-04-30,104,9514.31160385907,1902.86232077181,18.6917052211077
2019-05-02,105,9376.74065343172,1902.86232077181,18.6917052211077
2019-05-03,106,9391.88093466081,1902.86232077181,18.6917052211077
2019-05-06,107,9389.63793003428,1902.86232077181,18.6917052211077
2019-05-07,108,9326.64688343915,1902.86232077181,18.6917052211077
2019-05-08,109,9097.86041153279,1902.86232077181,18.6917052211077
2019-05-09,110,9044.77596870484,1902.86232077181,18.6917052211077
2019-05-10,111,9117.48670201495,9117.48670201495,0
2019-05-13,112,9117.48670201495,9117.48670201495,0
2019-05-14,113,9117.48670201495,9117.48670201495,0
2019-05-15,114,9117.48670201495,9117.48670201495,0
2019-05-16,115,9117.48670201495,9117.48670201495,0
2019-05-17,116,9117.48670201495,9117.48670201495,0
2019-05-20,117,9117.48670201495,9117.48670201495,0
2019-05-21,118,9117.48670201495,9117.48670201495,0
2019-05-22,119,9117.48670201495,9117.48670201495,0
2019-05-23,120,9117.48670201495,9117.48670201495,0
2019-05-24,121,9117.48670201495,9117.48670201495,0
2019-05-27,122,9117.48670201495,9117.48670201495,0
2019-05-28,123,9117.48670201495,9117.48670201495,0
2019-05-29,124,9117.48670201495,9117.48670201495,0
2019-05-30,125,9117.48670201495,9117.48670201495,0
2019-05-31,126,9117.48670201495,9117.48670201495,0
2019-06-03,127,9117.48670201495,9117.48670201495,0
2019-06-04,128,9117.48670201495,9117.48670201495,0
2019-06-06,129,9117.48670201495,9117.48670201495,0
2019-06-07,130,9117.48670201495,9117.48670201495,0
2019-06-10,131,9117.48670201495,9117.48670201495,0
2019-06-11,132,9117.48670201495,9117.48670201495,0
2019-06-12,133,9117.48670201495,9117.48670201495,0
2019-06-13,134,9117.48670201495,9117.48670201495,0
2019-06-14,135,9117.48670201495,9117.48670201495,0
2019-06-17,136,9117.48670201495,9117.48670201495,0
2019-06-18,137,9117.48670201495,9117.48670201495,0
2019-06-19,138,9117.48670201495,9117.48670201495,0
2019-06-20,139,9117.48670201495,9117.48670201495,0
2019-06-21,140,9117.48670201495,9117.48670201495,0
2019-06-24,141,9117.48670201495,9117.48670201495,0
2019-06-25,142,9117.48670201495,9117.48670201495,0
2019-06-26,143,9117.48670201495,9117.48670201495,0
2019-06-27,144,9117.48670201495,9117.48670201495,0
2019-06-28,145,9117.48670201495,9117.48670201495,0
2019-07-01,146,9117.48670201495,9117.48670201495,0
2019-07-02,147,9117.48670201495,9117.48670201495,0
2019-07-03,148,9117.48670201495,9117.48670201495,0
2019-07-04,149,9117.48670201495,9117.48670201495,0
2019-07-05,150,9117.48670201495,9117.48670201495,0
2019-07-08,151,9117.48670201495,9117.48670201495,0
2019-07-09,152,9117.48670201495,1823.49734040299,17.0472091093369
2019-07-10,153,9157.3771713308,1823.49734040299,17.0472091093369
2019-07-11,154,9102.14421381655,1823.49734040299,17.0472091093369
2019-07-12,155,9115.78198110402,1823.49734040299,17.0472091093369
2019-07-15,156,9047.93408884886,1823.49734040299,17.0472091093369
2019-07-16,157,9104.87176727404,1823.49734040299,17.0472091093369
2019-07-17,158,9063.27657704726,1823.49734040299,17.0472091093369
2019-07-18,159,9005.48653816661,1823.49734040299,17.0472091093369
2019-07-19,160,8866.04036765223,1823.49734040299,17.0472091093369
